industry,model,split,MSE,RMSE,MAE,MAPE,SMAPE,MSRE,R2
O,sarima,train,2887842903.8055553,53738.65372155833,27338.944444444445,100.0,200.0,1.0,-0.15510269151241896
O,sarima,validation,,,,,,,
O,sarima,test,0.0,0.0,0.0,,0.0,,1.0
O,sarimax,train,2887842903.8055553,53738.65372155833,27338.944444444445,100.0,200.0,1.0,-0.15510269151241896
O,sarimax,validation,,,,,,,
O,sarimax,test,0.0,0.0,0.0,,0.0,,1.0
P,arima,train,79.55555555555556,8.919392106839767,8.222222222222221,33.33333333333333,161.11111111111111,0.2222222222222222,-5.65702479338843
P,arima,validation,,,,,,,
P,arima,test,88.0,9.38083151964686,9.333333333333334,44.44444444444444,152.38095238095238,0.19753086419753085,-0.22222222222222232
P,sarima,train,79.55555555555556,8.919392106839767,8.222222222222221,33.33333333333333,161.11111111111111,0.2222222222222222,-5.65702479338843
P,sarima,validation,,,,,,,
P,sarima,test,88.0,9.38083151964686,9.333333333333334,44.44444444444444,152.38095238095238,0.19753086419753085,-0.22222222222222232
P,sarimax,train,79.55555555555556,8.919392106839767,8.222222222222221,33.33333333333333,161.11111111111111,0.2222222222222222,-5.65702479338843
P,sarimax,validation,,,,,,,
P,sarimax,test,88.0,9.38083151964686,9.333333333333334,44.44444444444444,152.38095238095238,0.19753086419753085,-0.22222222222222232
Q,arima,train,43448.02777777778,208.44190504257483,80.27777777777777,100.0,133.33333333333331,1.0,-0.17415975596573463
Q,arima,validation,,,,,,,
Q,arima,test,20172.0,142.02816622064793,82.0,100.0,66.66666666666666,1.0,-0.5
Q,sarima,train,43448.02777777778,208.44190504257483,80.27777777777777,100.0,133.33333333333331,1.0,-0.17415975596573463
Q,sarima,validation,,,,,,,
Q,sarima,test,20172.0,142.02816622064793,82.0,100.0,66.66666666666666,1.0,-0.5
Q,sarimax,train,43448.02777777778,208.44190504257483,80.27777777777777,100.0,133.33333333333331,1.0,-0.17415975596573463
Q,sarimax,validation,,,,,,,
Q,sarimax,test,20172.0,142.02816622064793,82.0,100.0,66.66666666666666,1.0,-0.5
R,arima,train,20.25,4.5,1.5,100.0,200.0,1.0,-0.125
R,arima,validation,,,,,,,
R,arima,test,192.0,13.856406460551018,8.0,100.0,200.0,1.0,-0.5
R,sarima,train,397.56987073699634,19.939154213180565,17.9307035561419,242.3953138120947,200.0,5.875548815806387,-21.087215040944244
R,sarima,validation,,,,,,,
R,sarima,test,95.41346534207395,9.767981641161798,9.266140095387971,56.815274883962765,159.78646923309245,0.322797546014025,0.2545823020150473
R,sarimax,train,397.56987073699634,19.939154213180565,17.9307035561419,242.3953138120947,200.0,5.875548815806387,-21.087215040944244
R,sarimax,validation,,,,,,,
R,sarimax,test,95.41346534207395,9.767981641161798,9.266140095387971,56.815274883962765,159.78646923309245,0.322797546014025,0.2545823020150473
S,arima,train,1.112769980484534,1.0548791307465202,0.9811281523073109,146.67393442599263,200.0,2.183313826110725,-3.8721280226620145
S,arima,validation,,,,,,,
S,arima,test,1980.436940731655,44.50210040808923,26.59849145923964,111.14911774792589,200.0,1.2463164285514161,-0.5626118850291411
S,sarima,train,1.112769980484534,1.0548791307465202,0.9811281523073109,146.67393442599263,200.0,2.183313826110725,-3.8721280226620145
S,sarima,validation,,,,,,,
S,sarima,test,1980.436940731655,44.50210040808923,26.59849145923964,111.14911774792589,200.0,1.2463164285514161,-0.5626118850291411
S,sarimax,train,1.112769980484534,1.0548791307465202,0.9811281523073109,146.67393442599263,200.0,2.183313826110725,-3.8721280226620145
S,sarimax,validation,,,,,,,
S,sarimax,test,1980.436940731655,44.50210040808923,26.59849145923964,111.14911774792589,200.0,1.2463164285514161,-0.5626118850291411
