lag,acf,acf_ci_low,acf_ci_hi,pacf,pacf_ci_low,pacf_ci_hi
0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.5604378569528365,-0.005355010085249301,1.1262307239909224,0.5604378569528363,-0.005355010085249523,1.1262307239909222
2,0.35864943904859803,-0.36330340839417774,1.0806022864913738,0.06496316713388918,-0.5008296999041967,0.630756034171975
3,0.28909311940364707,-0.48780456842736836,1.0659908072346624,0.09478891075834955,-0.4710039562797363,0.6605817777964353
4,0.0007249233904701199,-0.8098786972233413,0.8113285440042816,-0.30669603026836434,-0.8724888973064502,0.2590968367697215
5,-0.14380762949638853,-0.9544114576448262,0.666796198652049,-0.11261470644479667,-0.6784075734828825,0.4531781605932892
