industry,industry_name,model,split,MSE,RMSE,MAE,MAPE,SMAPE,R2
A,Agriculture & Forestry,prophet,train,31244.221259231872,176.7603497938151,150.00197290529917,66.82816516222101,75.72716591167735,0.82100976715984
A,Agriculture & Forestry,prophet,test,1134150.2987721039,1064.9649284235156,988.0109425383383,914.8314169015558,172.00304717003056,-2421.247909100364
A,Agriculture & Forestry,lstm,train,92875.16438013803,304.75426884645606,269.40848347118924,66.24911034356025,49.80086893759677,0.3638610899394704
A,Agriculture & Forestry,lstm,test,699424.4104820465,836.315975264162,827.2826961775621,834.9738211411293,158.38796644244405,-1492.787302880498
A,Agriculture & Forestry,gru,train,89551.84120415547,299.2521365072528,280.59127693516865,78.69372327863587,52.55634614632705,0.38662385108297104
A,Agriculture & Forestry,gru,test,721177.6590548665,849.2217961491959,846.3306190172831,838.3250043396607,159.9606120034821,-1539.2465428319408
A,Agriculture & Forestry,nbeats,train,9555.839900128942,97.75397639036963,60.406829833984375,31.248890858664584,19.951443079936496,0.9345482549683546
A,Agriculture & Forestry,nbeats,test,632692.6067196705,795.4197676193812,749.1923319498698,783.5995263050779,178.41667519352112,-1350.2656526998182
B,Mining & Quarrying,prophet,train,14928.184397003355,122.18094940293824,106.78431780348865,37.626150050565386,67.94258756031326,0.7315688964594829
B,Mining & Quarrying,prophet,test,320484.3952322044,566.1134119875667,522.6859821442018,2212.555883139272,139.51706391637052,-16.14594562660405
B,Mining & Quarrying,lstm,train,30345.258155592226,174.1989040022704,135.18609713230813,70.4473440158111,62.73518867304209,0.40719677866204074
B,Mining & Quarrying,lstm,test,120369.18220116477,346.94262090605815,287.66997709373635,1889.2476995399843,91.09179868008312,-5.439762696229331
B,Mining & Quarrying,gru,train,18447.499640315717,135.82157280901924,111.02045979670116,39.32437270100596,56.25373906103184,0.6396228644245463
B,Mining & Quarrying,gru,test,24045.252203639142,155.06531592731864,138.38288672765097,733.5574144069437,90.1302912608254,-0.28642327986941396
B,Mining & Quarrying,nbeats,train,0.0059251743545754975,0.07697515413804312,0.0682548029082162,0.029425975158232053,28.596646169674187,0.9999998842500392
B,Mining & Quarrying,nbeats,test,32185.635188874556,179.40355400290863,143.96717834472656,956.5815927019536,82.8938883521647,-0.7219345438217557
C,Manufacturing,prophet,train,102.45148998850142,10.12183234342979,7.8012755806951635,112.2215316037599,64.9198185599466,0.9416835917213779
C,Manufacturing,prophet,test,12191.118773970185,110.41339943127458,105.1786197372446,63.797630299826835,63.07692955837374,-0.1415914741288158
C,Manufacturing,lstm,train,199.6307664716167,14.12907521643284,12.021243776593892,238.3474552564412,73.98432414741683,0.8740524221239632
C,Manufacturing,lstm,test,8962.320728916215,94.66953432290778,88.52009948094685,50.44307214473632,51.109700031455155,0.16075717723429628
C,Manufacturing,gru,train,589.1750558019196,24.27292845541962,20.10331580894334,335.61560839806964,101.51613635244586,0.6282879010346281
C,Manufacturing,gru,test,15270.38615016835,123.57340389488488,108.15996978183587,49.688683900363735,61.075465357337286,-0.4299378883017657
C,Manufacturing,nbeats,train,300.22392646143624,17.326971070023642,11.227284772055489,325.2565000862103,72.41126579599849,0.8105879317774024
C,Manufacturing,nbeats,test,19689.777849517628,140.32026884779557,130.3837102254232,72.38929992464108,80.28426576106841,-0.843775205315271
D,Electricity & Gas Supply,prophet,train,37151.34326062139,192.7468372259877,144.4663820656469,491.5859868916977,103.5600733771333,0.5322485556194232
D,Electricity & Gas Supply,prophet,test,2142066.489267241,1463.5800248934943,1230.1040844811523,989.1574384645954,112.26919659012282,0.036927238664149264
D,Electricity & Gas Supply,lstm,train,32097.090658205936,179.1566093065113,158.5880202299783,1446.339761788837,141.94713201139302,-1.7173220009210448
D,Electricity & Gas Supply,lstm,test,3183623.1048522363,1784.2710289785675,1178.829286089788,92.68502721341564,169.1230943586318,-0.4313564541553967
D,Electricity & Gas Supply,gru,train,11317.098273851892,106.38185124283132,85.22031986287652,598.910569170177,140.27018932302263,0.04190069892639248
D,Electricity & Gas Supply,gru,test,3203382.3643090413,1789.7995318775345,1127.883298991869,63.23289244779158,104.47230359600061,-0.4402402141424766
D,Electricity & Gas Supply,nbeats,train,1.5137943192079568,1.2303634906839347,0.7319566437176296,3.676545104863913,59.757283375271854,0.9998718430074471
D,Electricity & Gas Supply,nbeats,test,2958464.147680796,1720.018647480543,1126.2938516934712,90.63386450700918,164.91168569618483,-0.33012502193371174
E,Water Supply & Waste,prophet,train,121.46706983684959,11.021209998763728,7.699729622730262,68.29741655983177,81.56123516220156,0.8856062754636482
E,Water Supply & Waste,prophet,test,852526.0802862286,923.323388789772,591.8196735898144,1745.205812916603,166.1650821432845,-1.6468069558187546
E,Water Supply & Waste,lstm,train,52.41678530381568,7.23994373623274,5.79090689761298,153.89159349588007,122.14544880082758,0.9555386250073663
E,Water Supply & Waste,lstm,test,481342.5420059193,693.7885427173898,414.1278998932491,275.5547251352797,135.71460760052491,-0.4944068196541347
E,Water Supply & Waste,gru,train,2008.073376690027,44.81153173782422,37.71324112559004,642.0144404914251,144.38736434795356,-0.7033036821363454
E,Water Supply & Waste,gru,test,421071.233891512,648.9000184092399,419.2501669321209,1349.3782450996569,147.08117367479275,-0.30728466440001156
E,Water Supply & Waste,nbeats,train,6.798984144643798,2.6074861734329096,2.1235468047005788,56.31648966815887,77.59655774997101,0.9942329125704324
E,Water Supply & Waste,nbeats,test,465647.0813250738,682.3833829491115,412.4540039698283,128.478053370185,200.0,-0.44567768929029405
